category,filter_type,bilateral_symmetry,lr_imbalance,multifractal_width,entropy,junctions
ai_faces_1k,raw,0.7481,0.2199,0.2801,7.4533,934
ai_faces_1k,raw,0.8027,0.0153,0.2404,7.5152,875
ai_faces_1k,raw,0.8306,0.0806,0.675,7.4683,708
ai_faces_1k,raw,0.72,0.2073,1.0053,7.4618,1163
ai_faces_1k,raw,0.6934,0.2058,0.3836,7.7218,710
ai_faces_1k,raw,0.8445,0.1299,1.1871,7.7351,1119
ai_faces_1k,raw,0.8297,0.1321,0.4291,7.6545,1095
ai_faces_1k,raw,0.7871,0.0825,0.3729,7.6313,1978
ai_faces_1k,raw,0.8117,0.02,0.5101,7.738,2091
ai_faces_1k,raw,0.7011,0.2696,0.6437,7.6692,1937
ai_faces_1k,raw,0.857,0.111,0.2904,7.6509,1498
ai_faces_1k,raw,0.7944,0.1745,0.3196,7.7504,2240
ai_faces_1k,raw,0.673,0.2622,0.089,7.3655,606
ai_faces_1k,raw,0.873,0.0606,0.3315,7.3762,1927
ai_faces_1k,raw,0.8147,0.1688,0.7466,7.4428,1099
ai_faces_1k,raw,0.6728,0.2227,0.1457,7.375,1183
ai_faces_1k,raw,0.9018,0.0541,0.2227,7.1096,887
ai_faces_1k,raw,0.7941,0.0214,0.6872,7.8381,2321
ai_faces_1k,raw,0.8659,0.0728,0.8843,7.4192,1264
ai_faces_1k,raw,0.8011,0.0309,0.2451,7.3944,1121
ai_faces_1k,raw,0.9264,0.0277,0.9723,6.4815,612
ai_faces_1k,raw,0.8774,0.0124,0.409,7.4671,2966
ai_faces_1k,raw,0.8134,0.0154,0.3576,7.3587,1469
ai_faces_1k,raw,0.7371,0.0981,1.0133,7.4925,1544
ai_faces_1k,raw,0.8571,0.0944,0.1567,7.1421,1770
ai_faces_1k,raw,0.7577,0.0625,0.9439,7.5351,1432
ai_faces_1k,raw,0.8761,0.0564,0.5163,7.3273,1194
ai_faces_1k,raw,0.779,0.1723,0.2,6.7299,1007
ai_faces_1k,raw,0.7162,0.2043,0.3824,7.0608,1418
ai_faces_1k,raw,0.7567,0.1876,0.363,6.8573,1342
ai_faces_1k,raw,0.8955,0.0218,0.134,6.7806,882
ai_faces_1k,raw,0.8782,0.0402,1.8503,7.256,1498
ai_faces_1k,raw,0.8216,0.025,0.3212,7.6568,1451
ai_faces_1k,raw,0.8694,0.0176,0.8406,7.4708,891
ai_faces_1k,raw,0.8782,0.0267,0.2458,7.367,1152
ai_faces_1k,raw,0.8037,0.0792,0.6763,7.7169,1357
ai_faces_1k,raw,0.8374,0.0329,0.5785,7.5961,989
ai_faces_1k,raw,0.7864,0.0992,0.7284,7.6382,1947
ai_faces_1k,raw,0.8139,0.0167,0.3374,7.6458,1396
ai_faces_1k,raw,0.8721,0.1132,0.1732,7.2508,1066
ai_faces_1k,raw,0.6323,0.229,1.086,7.2647,1438
ai_faces_1k,raw,0.8319,0.0007,0.2649,7.3516,745
ai_faces_1k,raw,0.8068,0.0676,0.1803,7.4461,1231
ai_faces_1k,raw,0.7799,0.022,0.3891,7.4427,1844
ai_faces_1k,raw,0.8188,0.0441,0.2251,7.391,1393
ai_faces_1k,raw,0.9056,0.0346,0.3045,7.264,1039
ai_faces_1k,raw,0.7233,0.2422,0.274,6.9231,1155
ai_faces_1k,raw,0.6836,0.2952,0.9683,7.7655,817
ai_faces_1k,raw,0.8989,0.0486,0.28,7.4203,1871
ai_faces_1k,raw,0.8255,0.0894,1.0795,7.6504,2755
ai_faces_1k,raw,0.8791,0.0466,0.511,6.9749,1581
ai_faces_1k,raw,0.7963,0.0986,0.3804,7.5033,1443
ai_faces_1k,raw,0.7963,0.1154,1.1518,7.6539,1451
ai_faces_1k,raw,0.8668,0.0224,0.7828,7.713,2897
ai_faces_1k,raw,0.8315,0.0036,0.6138,7.7363,918
ai_faces_1k,raw,0.8323,0.0437,0.2248,7.3465,932
ai_faces_1k,raw,0.8306,0.0622,0.2632,7.1467,1960
ai_faces_1k,raw,0.8937,0.0529,0.2694,6.6944,784
ai_faces_1k,raw,0.8775,0.0106,0.2648,7.2737,1196
ai_faces_1k,raw,0.8907,0.064,0.5716,6.6983,1277
ai_faces_1k,raw,0.8843,0.01,0.4908,7.1807,1275
ai_faces_1k,raw,0.7931,0.171,0.4431,7.0843,1095
ai_faces_1k,raw,0.7515,0.0412,1.9701,7.7929,737
ai_faces_1k,raw,0.8161,0.054,0.1769,7.2013,1062
ai_faces_1k,raw,0.7808,0.1273,0.3946,7.6743,3921
ai_faces_1k,raw,0.8666,0.0288,0.3754,7.348,1958
ai_faces_1k,raw,0.6851,0.051,0.8407,7.7198,1342
ai_faces_1k,raw,0.7663,0.1629,0.3843,7.5062,1356
ai_faces_1k,raw,0.8674,0.0397,1.0717,7.5566,502
ai_faces_1k,raw,0.7258,0.2474,0.1757,7.448,1577
ai_faces_1k,raw,0.9237,0.039,1.6571,6.9869,898
ai_faces_1k,raw,0.9208,0.0291,0.168,7.2665,1404
ai_faces_1k,raw,0.6973,0.2535,0.2815,7.6125,1212
ai_faces_1k,raw,0.8811,0.019,0.5171,7.3912,1212
ai_faces_1k,raw,0.9136,0.002,0.1607,6.6215,916
ai_faces_1k,raw,0.8562,0.0113,0.4488,7.5996,1650
ai_faces_1k,raw,0.6828,0.298,0.3098,7.4144,2541
ai_faces_1k,raw,0.8451,0.0753,0.357,7.5284,859
ai_faces_1k,raw,0.8282,0.124,0.4295,7.7589,1556
ai_faces_1k,raw,0.7675,0.1515,1.3472,7.125,1312
ai_faces_1k,raw,0.8442,0.0637,0.259,7.0453,1664
ai_faces_1k,raw,0.9032,0.0415,0.0951,6.9628,1745
ai_faces_1k,raw,0.8516,0.0083,0.2327,7.7648,1706
ai_faces_1k,raw,0.8037,0.175,0.3505,6.4141,1162
ai_faces_1k,raw,0.8394,0.0338,0.2126,6.9399,974
ai_faces_1k,raw,0.9045,0.0114,0.1756,7.0868,522
ai_faces_1k,raw,0.8642,0.0349,0.1516,7.1696,1436
ai_faces_1k,raw,0.8817,0.0652,0.2761,7.2863,1239
ai_faces_1k,raw,0.8303,0.0922,0.1833,7.4035,898
ai_faces_1k,raw,0.8022,0.0136,0.5304,7.7763,1438
ai_faces_1k,raw,0.8424,0.1083,0.4975,7.5329,1531
ai_faces_1k,raw,0.8299,0.0043,0.3016,7.5841,1371
ai_faces_1k,raw,0.7514,0.1014,0.3422,7.5742,891
ai_faces_1k,raw,0.7752,0.1908,0.1916,7.5384,991
ai_faces_1k,raw,0.7861,0.1185,0.3773,7.7001,1385
ai_faces_1k,raw,0.8561,0.0137,0.6993,7.6815,2654
ai_faces_1k,raw,0.8717,0.0601,0.5341,7.4554,1280
ai_faces_1k,raw,0.8462,0.0111,0.2122,7.3489,1137
ai_faces_1k,raw,0.8336,0.1194,0.4551,7.7866,799
ai_faces_1k,raw,0.8598,0.0708,1.4741,7.1836,1679
ai_faces_1k,raw,0.9149,0.0136,0.2068,7.2616,821
ai_faces_1k,raw,0.7445,0.0592,0.1899,7.2959,1673
ai_faces_1k,raw,0.835,0.0786,0.6762,7.7052,825
